Device,MUDFlow,TP,FP,TN,FN,Total,Correct_FDCP
awairAirQuality,ipv4-17-67,2,0,0,0,2,dhcp
awairAirQuality,ipv4-17-53,1118,0,0,0,1118,dns
awairAirQuality,ipv4-6-443,647,0,0,0,647,tls
awairAirQuality,ipv4-6-8883,0,179,2,0,181,none
awairAirQuality,ethernet-0x888e,0,0,0,0,0,none
awairAirQuality,ethernet-0x0006,0,0,0,0,0,cdp
lifxbulb,ipv4-17-123,1117,0,0,10,1127,ntp
lifxbulb,ipv4-17-56700,0,4,163,0,167,none
lifxbulb,ipv4-17-67,2,0,0,0,2,dhcp
lifxbulb,ipv4-17-53,6292,0,0,0,6292,dns
lifxbulb,ipv4-6-56700,0,131,11,0,142,none
lifxbulb,ipv6-58-*,0,0,0,3,3,icmpv6
lifxbulb,ethernet-0x888e,0,0,0,0,0,none
lifxbulb,ethernet-0x0006,0,0,0,0,0,cdp
pixstarphotoframe,ipv4-17-67,2,0,0,0,2,dhcp
pixstarphotoframe,ipv4-17-137,14,2,0,0,16,nbns
pixstarphotoframe,ipv4-6-80,23,0,0,0,23,http
pixstarphotoframe,ipv4-6-443,1049,0,0,0,1049,tls
pixstarphotoframe,ipv4-17-138,0,4,0,0,4,none
pixstarphotoframe,ipv4-17-53,4842,0,0,0,4842,dns
pixstarphotoframe,ipv6-0-*,0,0,2,0,2,none
pixstarphotoframe,ipv6-58-*,0,0,0,3,3,icmpv6
pixstarphotoframe,ethernet-0x888e,0,0,0,0,0,none
pixstarphotoframe,ethernet-0x0006,0,0,0,0,0,cdp
ringdoorbell,ipv4-17-67,2,0,0,0,2,dhcp
ringdoorbell,ipv4-17-53,486,0,0,0,486,dns
ringdoorbell,ipv4-6-443,103,0,0,0,103,tls
ringdoorbell,ipv4-6-80,3,0,0,0,3,http
ringdoorbell,ipv4-6-9998,0,0,0,0,0,none
ringdoorbell,ipv4-17-123,26,0,0,2,28,ntp
ringdoorbell,ethernet-0x888e,0,0,0,0,0,none
ringdoorbell,ethernet-0x0006,0,0,0,0,0,cdp
tplinkcamera,ipv4-2-*,5,0,0,0,5,igmp
tplinkcamera,ipv4-17-67,2,0,0,0,2,dhcp
tplinkcamera,ipv4-6-443,0,0,0,0,0,tls
tplinkcamera,ipv4-17-123,41,0,0,1,42,ntp
tplinkcamera,ipv4-6-80,3530,0,0,0,3530,http
tplinkcamera,ipv4-17-80,0,0,0,0,0,none
tplinkcamera,ipv4-17-5353,4,0,0,0,4,mdns
tplinkcamera,ipv4-17-3478,916,0,0,449,1365,classic-stun|stun
tplinkcamera,ipv4-17-1068,0,0,6,0,6,none
tplinkcamera,ipv4-17-53,4826,0,0,0,4826,dns
tplinkcamera,ipv4-6-8080,0,6,0,0,6,none
tplinkcamera,ethernet-0x888e,0,0,0,0,0,none
tplinkcamera,ethernet-0x0006,0,0,0,0,0,cdp
tribyspeaker,ipv4-17-10003,0,0,0,0,0,none
tribyspeaker,ipv4-6-8090,0,0,22,0,22,none
tribyspeaker,ipv4-6-80,187,0,0,1,188,http
tribyspeaker,ipv4-17-123,111,0,0,5,116,ntp
tribyspeaker,ipv4-17-67,4,0,0,0,4,dhcp
tribyspeaker,ipv4-17-10002,0,0,0,0,0,none
tribyspeaker,ipv4-17-53,3914,0,0,0,3914,dns
tribyspeaker,ipv4-6-5228,0,77,2,0,79,none
tribyspeaker,ipv4-17-5353,2,0,0,0,2,mdns
tribyspeaker,ipv4-6-443,3612,0,0,1,3613,tls
tribyspeaker,ipv6-58-*,0,0,0,3,3,icmpv6
tribyspeaker,ipv6-17-5353,1,0,0,0,1,mdns
tribyspeaker,ipv6-0-*,0,0,1,0,1,none
tribyspeaker,ethernet-0x0006,0,0,0,0,0,cdp
tribyspeaker,ethernet-0x888e,0,0,0,0,0,none
amazonEcho,ipv4-6-443,10957,0,0,1021,11978,tls
amazonEcho,ipv4-17-123,16293,66,0,566,16925,ntp
amazonEcho,ipv4-2-*,11,0,0,0,11,igmp
amazonEcho,ipv4-17-1900,15,0,0,0,15,ssdp
amazonEcho,ipv4-17-67,16,0,0,0,16,dhcp
amazonEcho,ipv4-1-*,42,0,0,0,42,icmp
amazonEcho,ipv4-6-80,3707,0,0,3,3710,http
amazonEcho,ipv4-17-53,73613,3,0,0,73616,dns
amazonEcho,ipv4-17-5353,9,0,0,0,9,mdns
amazonEcho,ipv4-17-33434,0,4,72,0,76,none
amazonEcho,ipv4-17-50000,0,309,0,0,309,none
amazonEcho,ethernet-0x0006,0,0,0,0,0,cdp
amazonEcho,ethernet-0x888e,0,0,0,0,0,none
nestsmokesensor,ipv4-6-11095,0,0,655,0,655,none
nestsmokesensor,ipv4-17-67,14,0,0,3,17,dhcp
nestsmokesensor,ipv4-17-53,171,0,0,3,174,dns
nestsmokesensor,ipv6-58-*,0,0,0,19,19,icmpv6
nestsmokesensor,ipv6-0-*,0,0,8,0,8,none
nestsmokesensor,ethernet-0x0006,0,0,0,0,0,cdp
nestsmokesensor,ethernet-0x888e,0,0,0,0,0,none
withingssleepsensor,ipv4-6-443,4427,0,0,2,4429,tls
withingssleepsensor,ipv4-17-53,18759,0,0,2,18761,dns
withingssleepsensor,ipv4-2-*,0,0,0,0,0,igmp
withingssleepsensor,ipv4-17-67,7,0,0,0,7,dhcp
withingssleepsensor,ipv4-6-80,15575,0,0,3,15578,http
withingssleepsensor,ipv4-17-5353,6,4,0,0,10,mdns
withingssleepsensor,ethernet-0x888e,0,0,0,0,0,none
