 srcIp, dstIp, ipProto, srcPort, dstPort,srcMac, dstMac, ethType, protocol
0.0.0.0,255.255.255.255,17,68,67,0,0,6,6
107.170.224.8,192.168.1.240,17,123,52373,0,0,2,2
107.170.224.8,192.168.1.240,17,123,57099,0,0,2,2
128.138.141.172,192.168.1.240,17,123,49168,0,0,2,2
131.107.13.100,192.168.1.240,17,123,43349,0,0,2,2
171.66.97.126,192.168.1.239,17,123,35530,0,0,2,2
176.32.100.25,192.168.1.239,6,443,36549,0,0,2,2
176.32.100.25,192.168.1.239,6,443,39057,0,0,2,2
176.32.100.25,192.168.1.239,6,443,47705,0,0,2,2
176.32.100.25,192.168.1.240,6,443,44900,0,0,2,2
176.32.98.204,192.168.1.240,6,443,35934,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32771,0,0,3,3
192.168.1.1,192.168.1.239,17,53,32774,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32776,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32780,0,0,3,3
192.168.1.1,192.168.1.239,17,53,32786,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32790,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32794,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32797,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32798,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32811,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32812,0,0,3,3
192.168.1.1,192.168.1.239,17,53,32815,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32881,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32884,0,0,3,3
192.168.1.1,192.168.1.239,17,53,32886,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32889,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32892,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32893,0,0,3,3
192.168.1.1,192.168.1.239,17,53,32894,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32901,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32902,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32910,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32911,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32912,0,0,2,2
192.168.1.1,192.168.1.239,17,53,32914,0,0,2,2
