 srcIp, dstIp, ipProto, srcPort, dstPort,srcMac, dstMac, ethType, protocol
0.0.0.0,255.255.255.255,17,68,67,0,0,5,5
0:0:0:0:0:0:0:0,ff02:0:0:0:0:1:ff25:bee4,0,*,*,0,0,5,5
0:0:0:0:0:0:0:0,ff02:0:0:0:0:1:ff25:bee4,58,*,*,0,0,5,5
192.168.1.1,192.168.1.168,1,*,*,0,0,2,2
192.168.1.1,192.168.1.168,17,67,68,0,0,5,5
192.168.1.168,0.0.0.0,17,68,67,0,0,4,4
192.168.1.211,192.168.1.168,1,*,*,0,0,5,5
192.168.1.211,192.168.1.168,17,0,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,1,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,10,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,100,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,1000,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,10000,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10001,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10002,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10003,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10004,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10005,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10006,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10007,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10008,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10009,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,1001,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,10010,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10011,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10012,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10013,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10014,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10015,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10016,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10017,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10018,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10019,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,1002,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,10020,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10021,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10022,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10023,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10024,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10025,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10026,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10027,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10028,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10029,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,1003,3179,0,0,3,3
192.168.1.211,192.168.1.168,17,10030,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10031,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10032,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10033,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10034,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10035,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10036,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10037,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10038,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,10039,3179,0,0,4,4
192.168.1.211,192.168.1.168,17,1004,3179,0,0,3,3
