 srcIp, dstIp, ipProto, srcPort, dstPort,srcMac, dstMac, ethType, protocol
192.168.1.1,192.168.1.156,17,53,32912,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33737,0,0,2,2
192.168.1.1,192.168.1.156,17,53,34197,0,0,2,2
192.168.1.1,192.168.1.156,17,53,37394,0,0,2,2
192.168.1.1,192.168.1.156,17,53,41766,0,0,2,2
192.168.1.1,192.168.1.156,17,53,45632,0,0,2,2
192.168.1.1,192.168.1.156,17,53,45669,0,0,2,2
192.168.1.1,192.168.1.156,17,53,47433,0,0,2,2
192.168.1.1,192.168.1.156,17,53,54448,0,0,2,2
192.168.1.1,192.168.1.156,17,53,58416,0,0,2,2
192.168.1.1,192.168.1.156,17,53,60827,0,0,2,2
192.168.1.156,192.168.1.1,17,52839,53,0,0,2,2
192.168.1.156,192.168.1.1,17,53715,53,0,0,2,2
192.168.1.156,192.168.1.1,17,53795,53,0,0,2,2
192.168.1.156,192.168.1.1,17,55920,53,0,0,2,2
192.168.1.156,89.30.121.150,6,36018,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36026,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36027,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36033,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36035,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36036,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36039,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36045,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36048,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36052,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36082,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36085,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36088,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36091,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36094,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36095,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36096,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36098,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36133,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36134,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36137,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36138,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36140,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36147,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36148,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36157,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36160,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36161,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36166,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36168,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36170,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36171,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36174,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36175,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36177,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36178,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36181,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36184,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36185,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36188,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36192,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36260,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36262,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36263,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36265,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36267,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36272,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36275,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36283,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36284,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36287,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36288,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36295,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36299,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36302,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36306,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36507,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36511,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36512,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36518,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36524,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36525,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36601,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36605,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36607,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36609,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36610,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36635,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36637,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36639,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36646,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36702,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36705,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36716,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36717,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36719,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36722,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36723,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36725,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36729,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36732,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36736,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36738,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36742,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36775,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36776,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36782,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36783,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36785,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36787,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36788,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36789,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36805,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36807,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36810,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36812,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36814,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36817,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36819,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36823,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36826,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36829,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36832,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36835,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36839,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36842,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36853,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36855,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36859,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36861,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36864,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36866,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36867,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36869,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36872,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36873,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36875,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36903,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36910,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36913,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36915,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36916,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36918,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36920,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36923,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36930,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36931,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36934,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36936,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36939,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36940,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36942,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36946,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36949,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36950,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36952,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36956,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36957,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36959,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36961,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36973,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36974,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36976,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36977,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36980,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36981,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36983,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36988,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36990,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36991,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36994,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36995,80,0,0,2,2
192.168.1.156,89.30.121.150,6,36998,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37003,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37007,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37013,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37014,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37026,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37027,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37037,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37044,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37045,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37049,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37052,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37053,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37057,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37060,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37062,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37063,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37065,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37066,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37071,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37072,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37074,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37076,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37078,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37081,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37082,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37086,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37089,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37092,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37094,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37098,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37099,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37103,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37104,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37106,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37108,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37110,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37114,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37117,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37118,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37124,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37125,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37128,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37130,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37131,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37135,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37137,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37138,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37142,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37143,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37145,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37147,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37153,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37160,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37163,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37164,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37166,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37173,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37192,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37198,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37201,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37205,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37206,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37208,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37212,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37213,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37220,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37222,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37226,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37227,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37230,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37231,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37234,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37238,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37242,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37243,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37245,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37247,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37249,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37250,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37257,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37258,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37260,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37262,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37263,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37265,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37267,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37271,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37272,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37280,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37281,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37285,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37287,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37289,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37290,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37293,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37296,80,0,0,2,2
192.168.1.156,89.30.121.150,6,37460,80,0,0,2,2
