 srcIp, dstIp, ipProto, srcPort, dstPort,srcMac, dstMac, ethType, protocol
0.0.0.0,255.255.255.255,17,68,67,0,0,3,3
192.168.1.1,192.168.1.156,1,*,*,0,0,3,3
192.168.1.1,192.168.1.156,17,53,32772,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32781,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32811,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32813,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32832,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32834,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32839,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32845,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32853,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32858,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32864,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32867,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32875,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32877,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32878,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32879,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32882,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32883,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32886,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32893,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32899,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32912,0,0,3,3
192.168.1.1,192.168.1.156,17,53,32913,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32925,0,0,3,3
192.168.1.1,192.168.1.156,17,53,32956,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32957,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32968,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32970,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32976,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32979,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32980,0,0,2,2
192.168.1.1,192.168.1.156,17,53,32993,0,0,3,3
192.168.1.1,192.168.1.156,17,53,32996,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33009,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33010,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33034,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33038,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33039,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33043,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33051,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33054,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33067,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33100,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33102,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33115,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33117,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33123,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33133,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33137,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33146,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33148,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33156,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33157,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33169,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33182,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33183,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33186,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33192,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33208,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33216,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33230,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33232,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33236,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33244,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33250,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33252,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33257,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33259,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33273,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33293,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33302,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33307,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33308,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33338,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33339,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33340,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33343,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33347,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33350,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33352,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33356,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33362,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33367,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33370,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33375,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33376,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33386,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33421,0,0,4,4
192.168.1.1,192.168.1.156,17,53,33434,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33435,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33445,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33453,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33477,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33479,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33481,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33487,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33490,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33492,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33495,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33560,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33561,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33568,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33571,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33579,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33590,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33594,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33607,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33661,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33663,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33666,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33689,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33692,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33707,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33709,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33723,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33726,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33730,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33737,0,0,4,4
192.168.1.1,192.168.1.156,17,53,33741,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33742,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33747,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33748,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33749,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33756,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33770,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33789,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33796,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33800,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33817,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33835,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33845,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33853,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33885,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33886,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33901,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33907,0,0,3,3
192.168.1.1,192.168.1.156,17,53,33910,0,0,2,2
192.168.1.1,192.168.1.156,17,53,33919,0,0,2,2
